symbol,name,currency,exchange,country,type
ASR,Grupo Aeroportuario del Sureste SAB de CV,USD,NYSE,United States,Depositary Receipt
ASRT,Assertio Therapeutics Inc,USD,NASDAQ,United States,Common Stock
ASRV,AmeriServ Financial Inc,USD,NASDAQ,United States,Common Stock
ASRVP,AmeriServ Financial Capital Trust I,USD,NASDAQ,United States,Preferred Stock
ASTC,Astrotech Corp,USD,NASDAQ,United States,Common Stock
ASTE,Astec Industries Inc,USD,NASDAQ,United States,Common Stock
ASTI,Ascent Solar Technologies,,,,
ASTO,Astro Communications,,,,
ASTR,Astra Space,,,,
ASTS,AST SpaceMobile,,,,
ASTTF,Australis Oil & Gas Limited,USD,OTC,United States of America,EQUITY
ASUR,Asure Software Inc,USD,NASDAQ,United States,Common Stock
ASX,ASE Technology Holding Co Ltd,USD,NYSE,United States,Depositary Receipt
ASXC,Asensus Surgical,,,,
ASXH,Aspen International Holdings,,,,
ASYS,Amtech Systems Inc,USD,NASDAQ,United States,Common Stock
ASZP,JV Group,,,,
AT,Atlantic Power Corp,USD,NYSE,United States,Common Stock
ATA,Americas Technology Acquisition Corp.,USD,NYSE,United States of America,EQUITY
ATAC,Altimar Acquisition Corporation,USD,NYSE,United States of America,EQUITY
ATAO,Altair International Corp.,USD,OTC,United States,Common Stock
ATAR,Avatar Ventures Corp.,USD,OTC,United States,Common Stock
ATAX,America First Multifamily Investors LP,USD,NASDAQ,United States,Limited Partnership
ATBPF,Antibe Therapeutics Inc.,USD,OTC,United States of America,EQUITY
ATBYF,Abitibi Royalties Inc.,USD,OTC,United States of America,EQUITY
ATC,Atotech Limited,USD,NYSE,United States of America,EQUITY
ATCD,Altair Corp.,USD,OTC,United States,Common Stock
ATCN,Atec,,,,
ATCO,Atlas Corp,USD,NYSE,United States,Common Stock
ATCV,ATC Venture Group Inc.,USD,OTC,United States,Common Stock
ATCX,Atlas Technical Consultants Inc,USD,NASDAQ,United States,Common Stock
ATDRF,Auto Trader Group plc,USD,OTC,United States of America,EQUITY
ATDS,DATA443 RISK MITIGATION INC NEV,USD,OTC,United States,Common Stock
ATEC,Alphatec Holdings Inc,USD,NASDAQ,United States,Common Stock
ATEN,A10 Networks Inc,USD,NYSE,United States,Common Stock
ATER,Aterian,,,,
ATEX,pdvWireless Inc,USD,NASDAQ,United States,Common Stock
ATFS,Altrust Financial Services,,,,
ATGE,Adtalem Global Education Inc,USD,NYSE,United States,Common Stock
ATGN,Altigen Communications,,,,
ATGN,Altigen Communications,,,,
ATH,Athene Holding Ltd,USD,NYSE,United States,Common Stock
ATH-A,Athene Holding Ltd,USD,NYSE,United States,Preferred Stock
ATHA,Athira Pharma Inc,USD,NASDAQ,United States of America,Common Stock
ATH-B,Athene Holding Ltd,USD,NYSE,United States,Preferred Stock
ATHC,Accelerated Technologies Holding Corp.,USD,OTC,United States,Common Stock
ATHE,Alterity Therapeutics Limited,USD,NASDAQ,United States of America,EQUITY
ATHE,Alterity Therapeutics ltd,USD,NASDAQ,United States,Depositary Receipt
ATHI,American Transportation Holdings,,,,
ATHM,Autohome Inc,USD,NYSE,United States,Depositary Receipt
ATH.PR.A,Athene Holding Ltd.,USD,NYSE,United States of America,EQUITY
ATHX,Athersys Inc,USD,NASDAQ,United States,Common Stock
ATI,Allegheny Technologies Inc,USD,NYSE,United States,Common Stock
ATIF,ATIF Holdings Ltd,USD,NASDAQ,United States,Common Stock
ATIG,Atlantis Internet Group Corp.,USD,OTC,United States,Common Stock
ATIP,ATI Physical Therapy,,,,
ATIW,ATI Networks,,,,
ATIXF,AnalytixInsight Inc.,USD,OTC,United States of America,EQUITY
ATKJ,ArTec,,,,
ATKR,Atkore International Group Inc,USD,NYSE,United States,Common Stock
ATLC,Atlanticus Holdings Corp,USD,NASDAQ,United States,Common Stock
ATLO,Ames National Corp,USD,NASDAQ,United States,Common Stock
ATLS,Atlas Energy Group,,,,
ATLT,Atlas Technology International Inc.,USD,OTC,United States,Common Stock
ATNE,Alternative Energy Technology,,,,
ATNF,180 Life Sciences Corp.,USD,NASDAQ,United States of America,EQUITY
ATNI,ATN International Inc,USD,NASDAQ,United States,Common Stock
ATNM,Actinium Pharmaceuticals Inc,USD,NYSE,United States,Common Stock
ATNP,Atlantis Technology Group,USD,OTC,United States,Common Stock
ATNWW,Actinium Pharmaceuticals,,,,
ATNX,Athenex Inc,USD,NASDAQ,United States,Common Stock
ATO,Atmos Energy Corp,USD,NYSE,United States,Common Stock
ATOM,Atomera Inc,USD,NASDAQ,United States,Common Stock
ATOR,Astor Explorations Corp.,USD,OTC,United States,Common Stock
ATOS,Atossa Genetics Inc,USD,NASDAQ,United States,Common Stock
ATPGQ,ATP Oil & Gas Corp.,USD,OTC,United States,Preferred Stock
ATPL,Atlantis Plastics,,,,
ATPT,All State Properties Holdings Inc.,USD,OTC,United States,Common Stock
ATR,AptarGroup Inc,USD,NYSE,United States,Common Stock
ATRA,Atara Biotherapeutics Inc,USD,NASDAQ,United States,Common Stock
ATRC,AtriCure Inc,USD,NASDAQ,United States,Common Stock
ATRI,Atrion Corp,USD,NASDAQ,United States,Common Stock
ATRO,Astronics Corp,USD,NASDAQ,United States,Common Stock
ATROB,Astronics Corp.,USD,OTC,United States,Common Stock
ATRS,Antares Pharma Inc,USD,NASDAQ,United States,Common Stock
ATRX,Adhera Therapeutics Inc.,USD,OTC,United States,Common Stock
ATSG,Air Transport Services Group Inc,USD,NASDAQ,United States,Common Stock
ATTO,Atento SA,USD,NYSE,United States,Common Stock
ATUS,Altice USA Inc,USD,NYSE,United States,Common Stock
ATUSF,Altius Minerals Corporation,USD,OTC,United States of America,EQUITY
ATV,Acorn International Inc,USD,NYSE,United States,Depositary Receipt
ATVI,Activision Blizzard Inc,USD,NASDAQ,United States,Common Stock
ATVK,Ameritek Ventures,USD,OTC,United States,Common Stock
ATVVF,Australian Vanadium Limited,USD,OTC,United States of America,EQUITY
ATWT,ATWEC Technologies,,,,
ATXI,Avenue Therapeutics Inc,USD,NASDAQ,United States,Common Stock
ATYG,Atlas Technology Group,,,,
ATZAF,Aritzia Inc.,USD,OTC,United States of America,EQUITY
AU,AngloGold Ashanti Ltd,USD,NYSE,United States,Depositary Receipt
AUB,Atlantic Union Bankshares Corp,USD,NASDAQ,United States,Common Stock
AUBN,Auburn National Bancorporation Inc,USD,NASDAQ,United States,Common Stock
AUCM,AuctionCities.com,,,,
AUD,Audacy,,,,
AUDC,AudioCodes Ltd,USD,NASDAQ,United States,Common Stock
AUDGF,Audinate Group Limited,USD,OTC,United States of America,EQUITY
AUG,Auryn Resources Inc,USD,NYSE,United States,Common Stock
AUIAF,Aurania Resources Ltd.,USD,OTC,United States of America,EQUITY
AULRF,AURELIUS Equity Opportunities SE & Co. KGaA,USD,OTC,United States of America,EQUITY
AUMC,AURYN Mining Corporation,USD,OTC,United States,Common Stock
AUMN,Golden Minerals Co,USD,NYSE,United States,Common Stock
AUMTF,Aurelia Metals Limited,USD,OTC,United States of America,EQUITY
AUNM,Auction Mills,,,,
AUPH,Aurinia Pharmaceuticals Inc,USD,NASDAQ,United States,Common Stock
AURC,Aurora Acquisition Corp.,USD,NASDAQ,United States of America,EQUITY
AURI,Auri,,,,
AURT,Attune RTD,USD,OTC,United States,Common Stock
AURX,Nuo Therapeutics,,,,
AUS,Austerlitz Acquisition Corporation I,USD,NYSE,United States of America,EQUITY
AUSAF,Australis Capital Inc.,USD,OTC,United States,Common Stock
AUSAF,Australis Capital Inc.,USD,OTC,United States of America,EQUITY
AUSI,Aura Systems,,,,
AUTL,Autolus Therapeutics PLC,USD,NASDAQ,United States,Depositary Receipt
AUTO,AutoWeb Inc,USD,NASDAQ,United States,Common Stock
AUTR,Autris,USD,OTC,United States,Common Stock
AUUD,Auddia Inc.,USD,NASDAQ,United States of America,EQUITY
AUUMF,Aumann AG,USD,OTC,United States of America,EQUITY
AUVI,Applied UV,,,,
AUY,Yamana Gold Inc,USD,NYSE,United States,Common Stock
AVA,Avista Corp,USD,NYSE,United States,Common Stock
AVAH,Aveanna Healthcare Holdings Inc.,USD,NASDAQ,United States of America,EQUITY
AVAL,Grupo Aval Acciones y Valores SA,USD,NYSE,United States,Depositary Receipt
AVAN,Avanti Acquisition Corp.,USD,NYSE,United States of America,EQUITY
AVASF,Avast Plc,USD,OTC,United States of America,EQUITY
AVAV,Aerovironment Inc,USD,NASDAQ,United States,Common Stock
AVB,AvalonBay Communities Inc,USD,NYSE,United States,Real Estate Investment Trust (REIT)
AVCNF,Avicanna Inc.,USD,OTC,United States of America,EQUITY
AVCO,Avalon GloboCare Corp.,USD,NASDAQ,United States of America,EQUITY
AVCO,Avalon GloboCare Corp,USD,NASDAQ,United States,Common Stock
AVCT,American Virtual Cloud Technologies Inc,USD,NASDAQ,United States,Common Stock
AVD,American Vanguard Corp,USD,NYSE,United States,Common Stock
AVDL,Avadel Pharmaceuticals PLC,USD,NASDAQ,United States,Depositary Receipt
AVEO,AVEO Pharmaceuticals Inc,USD,NASDAQ,United States,Common Stock
AVEW,AVEW Holdings,,,,
AVFL,Availent Financial,,,,
AVGC,Avangard Capital Group,,,,
AVGG,Advanced Technologies Group,,,,
AVGO,Broadcom Inc,USD,NASDAQ,United States,Common Stock
AVGOP,Broadcom Inc,USD,NASDAQ,United States,Preferred Stock
AVGR,Avinger,,,,
AVGR,Avangardco Investments Public Ltd,USD,NASDAQ,United States,Common Stock
AVH,Avianca Holdings SA,USD,NYSE,United States,Depositary Receipt
AVHHL,AVITA Medical,,,,
AVHNF,Ackermans & Van Haaren NV,USD,OTC,United States of America,EQUITY
AVHOQ,Avianca Holdings S.A.,USD,OTC,United States of America,EQUITY
AVID,Avid Technology Inc,USD,NASDAQ,United States,Common Stock
AVIR,Atea Pharmaceuticals Inc,USD,NASDAQ,United States of America,Common Stock
AVIX,Avix Technologies,,,,
AVK,Advent Convertible and Income,USD,NYSE,United States,Closed-end Fund
AVLNF,Avalon Advanced Materials Inc.,USD,OTC,United States of America,EQUITY
AVLP,Avalanche International Corp,USD,OTC,United States,Common Stock
AVLR,Avalara Inc,USD,NYSE,United States,Common Stock
AVLS,Advanced Lighting Solutions,,,,
AVMR,Avra Med Robotics Inc.,USD,OTC,United States,Common Stock
AVMR,Avra Med Robotics Inc.,USD,OTC,United States,Common Stock
AVMXF,Avita Medical Ltd.,USD,OTC,United States,Common Stock
AVNE,Aventura Equities,,,,
AVNS,Avanos Medical Inc,USD,NYSE,United States,Common Stock
AVNT,Avient Corporation,USD,NYSE,United States,Common Stock
AVNW,Aviat Networks Inc,USD,NASDAQ,United States,Common Stock
AVO,Mission Produce Inc,USD,NASDAQ,United States of America,Common Stock
AVOA,Avoca LLC,USD,OTC,United States,Common Stock
AVOI,Advanced Voice Recognition Systems,,,,
AVOT,American Video Teleconferencing Corp.,USD,OTC,United States,Common Stock
AVOZ,Altavoz Entertainment,,,,
AVPI,AVP,,,,
AVRI,Averox,,,,
AVRO,Avrobio Inc,USD,NASDAQ,United States,Common Stock
AVSR,Avistar Communications Corp.,USD,OTC,United States,Common Stock
AVT,Avnet Inc,USD,NASDAQ,United States,Common Stock
AVTD,Artventive Medical Group,,,,
AVTO,Avantogen Oncology,,,,
AVTR,Avantor Inc,USD,NYSE,United States,Common Stock
AVTR-A,Avantor Inc,USD,NYSE,United States,Preferred Stock
AVTR.PR.A,Avantor,,,,
AVTXF,Avantium N.V.,USD,OTC,United States of America,EQUITY
AVXL,Anavex Life Sciences Corp,USD,NASDAQ,United States,Common Stock
AVXT,AVAX Technologies,,,,
AVY,Avery Dennison Corp,USD,NYSE,United States,Common Stock
AVYA,Avaya Holdings Corp,USD,NYSE,United States,Common Stock
AVYAW,Avaya Holdings Corp.,USD,OTC,United States,Warrant
AWCMY,Alumina Limited,USD,OTC,United States of America,EQUITY
AWEB,Areti Web Innovations,,,,
AWF,AllianceBernstein Global High Income Fund Inc,USD,NYSE,United States,Closed-end Fund
AWGI,Ambient Water Corporation,USD,OTC,United States,Common Stock
AWGL,AWG,,,,
AWH,Aspira Women''s Health Inc,USD,NASDAQ,United States of America,Common Stock
AWH,Aspira Women's Health Inc.,USD,NASDAQ,United States,Common Stock
AWHI,ANGO World Holdings,,,,
AWI,Armstrong World Industries Inc,USD,NYSE,United States,Common Stock
AWK,American Water Works Co Inc,USD,NYSE,United States,Common Stock
AWKS,AmeriWorks,,,,
AWON,A1 Group,,,,
AWP,Aberdeen Global Premier Properties Fund,USD,NYSE,United States,Closed-end Fund
AWR,American States Water Co,USD,NYSE,United States,Common Stock
AWRE,Aware Inc-MA,USD,NASDAQ,United States,Common Stock
AWRRF,A&W Revenue Royalties Income Fund,USD,OTC,United States of America,EQUITY
AWRY,Allegheny & Western Railway Co.,USD,OTC,United States,Common Stock
AWSI,ARIA Wireless Systems,,,,
AWSL,Atlantic Wind & Solar,,,,
AWSM,Cool Holdings Inc.,USD,OTC,United States,Common Stock
AWSM,Cool Holdings Inc,USD,NASDAQ,United States,Common Stock
AWWC,Access Worldwide Communications,,,,
AWWI,Alpha Wastewater Inc,USD,OTC,United States,Common Stock
AWX,Avalon Holdings Corp,USD,NYSE,United States,Common Stock
AX,Axos Financial Inc,USD,NYSE,United States,Common Stock
AXAHF,AXA SA,USD,OTC,United States of America,EQUITY
AXAHY,AXA SA,USD,OTC,United States of America,EQUITY
AXAS,Abraxas Petroleum Corp,USD,NASDAQ,United States,Common Stock
AXCG,Eyes on the Go,,,,
AXDX,Accelerate Diagnostics Inc,USD,NASDAQ,United States,Common Stock
AXE,Anixter International Inc,USD,NYSE,United States,Common Stock
AXGN,AxoGen Inc,USD,NASDAQ,United States,Common Stock
AXGT,Axovant Gene Therapies Ltd,USD,NASDAQ,United States,Common Stock
AXIM,AXIM Biotechnologies,,,,
AXIM,Axim Biotechnologies,,,,
AXL,American Axle & Manufacturing Holdings Inc,USD,NYSE,United States,Common Stock
AXLA,Axcella Health Inc,USD,NASDAQ,United States,Common Stock
AXLE,T.J.T.,,,,
AXLX,Axiologix,,,,
AXMA,Axiom Management,,,,
AXMP,AXM Pharma,,,,
AXNX,Axonics Modulation Technologies Inc,USD,NASDAQ,United States,Common Stock
AXO,Axos Financial Inc,USD,NYSE,United States,Preferred Stock
AXON,Axon Enterprise,,,,
AXP,American Express Co,USD,NYSE,United States,Common Stock
AXPLF,Arabella Exploration,,,,
AXPT,Axis Petroleum Co.,USD,OTC,United States,Common Stock
AXPWQ,Axion Power International,,,,
AXR,AMREP Corp,USD,NYSE,United States,Common Stock
AXRX,Amexdrug Corp.,USD,OTC,United States,Common Stock
AXS,Axis Capital Holdings Ltd,USD,NYSE,United States,Common Stock
AXS-E,Axis Capital Holdings Ltd,USD,NYSE,United States,Preferred Stock
AXSM,Axsome Therapeutics Inc,USD,NASDAQ,United States,Common Stock
AXS.PR.E,AXIS Capital Holdings Limited,USD,NYSE,United States of America,EQUITY
AXTA,Axalta Coating Systems Ltd,USD,NYSE,United States,Common Stock
AXTG,Axis Technologies Group,,,,
AXTI,AXT Inc,USD,NASDAQ,United States,Common Stock
AXTLF,Axtel,,,,
AXU,Alexco Resource Corp,USD,NYSE,United States,Common Stock
AXXA,Exxe Group Inc.,USD,OTC,United States,Common Stock
AY,Atlantica Yield plc,USD,NASDAQ,United States,Common Stock
AYAG,AMAYA GLOBAL HLDGS CORP.,USD,OTC,United States,Common Stock
AYHC,Ability Holding Corp.,USD,OTC,United States,Common Stock
AYI,Acuity Brands Inc,USD,NYSE,United States,Common Stock
AYLA,Ayala Pharmaceuticals Inc,USD,NASDAQ,United States,Common Stock
AYRO,AYRO Inc,USD,NASDAQ,United States of America,Common Stock
AYRO,Ayro,,,,
AYRWF,Ayr Strategies Inc.,USD,OTC,United States of America,EQUITY
AYTU,Aytu BioScience Inc,USD,NASDAQ,United States,Common Stock
AYTUW,Aytu BioScience,,,,
AYTUZ,Aytu BioScience,,,,
AYX,Alteryx Inc,USD,NYSE,United States,Common Stock
AZDDQ,Azure Dynamics Corp.,USD,OTC,United States,Common Stock
AZEK,AZEK Co Inc-The,USD,NYSE,United States of America,Common Stock
AZGFF,Azteca Gold Corp.,USD,OTC,United States,Common Stock
AZGSQ,Aztec Oil & Gas,,,,
AZIL,Aziel Corporation,USD,OTC,United States,Common Stock
AZKLF,Aziana Limited,USD,OTC,United States of America,EQUITY
AZLCZ,Aztec Land & Cattle Co.,,,,
AZLOF,Azelio AB ,USD,OTC,United States of America,EQUITY
AZMCF,Arizona Metals Corp.,USD,OTC,United States of America,EQUITY
AZMTF,Azimut Exploration Inc.,USD,OTC,United States of America,EQUITY
AZN,AstraZeneca PLC,USD,NASDAQ,United States of America,EQUITY
AZN,AstraZeneca PLC,USD,NYSE,United States,Depositary Receipt
AZO,AutoZone Inc,USD,NYSE,United States,Common Stock
AZPN,Aspen Technology Inc,USD,NASDAQ,United States,Common Stock
AZRE,Azure Power Global Ltd,USD,NYSE,United States,Common Stock
AZRH,Azure Holding Group Corp,USD,OTC,United States,Common Stock
AZRX,AzurRx BioPharma Inc,USD,NASDAQ,United States,Common Stock
AZRX,AzurRx BioPharma,,,,
AZUL,Azul SA,USD,NYSE,United States,Depositary Receipt
AZYO,Aziyo Biologics,,,,
AZYO,Aziyo Biologics Inc,USD,NASDAQ,United States of America,Common Stock
AZZ,AZZ Inc,USD,NYSE,United States,Common Stock
AZZUF,Azarga Uranium Corp.,USD,OTC,United States of America,EQUITY
B,Barnes Group Inc,USD,NYSE,United States,Common Stock
BA,Boeing Co-The,USD,NYSE,United States,Common Stock
BABA,Alibaba Group Holding Ltd,USD,NYSE,United States,Depositary Receipt
BABAF,Alibaba Group Holding Limited,USD,OTC,United States of America,EQUITY
BABB,BAB,,,,
BABL,Buildablock Corp.,USD,OTC,United States,Common Stock
BABYF,Else Nutrition Holdings Inc.,USD,OTC,United States of America,EQUITY
BAC,Bank of America Corp,USD,NYSE,United States,Common Stock
BAC-A,Bank of America Corp,USD,NYSE,United States,Preferred Stock
BAC-B,Bank of America Corp,USD,NYSE,United States,Preferred Stock
BAC-C,Bank of America Corp,USD,NYSE,United States,Preferred Stock
BAC-E,Bank of America Corp,USD,NYSE,United States,Preferred Stock
BAC-K,Bank of America Corp,USD,NYSE,United States,Preferred Stock
BAC-L,Bank of America Corp,USD,NYSE,United States,Preferred Stock
BAC-M,Bank of America Corp,USD,NYSE,United States,Preferred Stock
BAC-N,Bank of America Corp,USD,NYSE,United States,Preferred Stock
BAC.PR.B,Bank of America Corporation,USD,NYSE,United States of America,EQUITY
BAC.PR.C,Bank of America Corporation,USD,NYSE,United States of America,EQUITY
BAC.PR.E,Bank of America Corporation,USD,NYSE,United States of America,EQUITY
BAC.PR.K,Bank of America Corporation,USD,NYSE,United States of America,EQUITY
BAC.PR.L,Bank of America Corporation,USD,NYSE,United States of America,EQUITY
BADG,Badger St Ethanol LLC,USD,OTC,United States,Unit
BADGA,Badger St Ethanol LLC,USD,OTC,United States,Common Stock
BAF,BlackRock Municipal Income Investment Quality Trust,USD,NYSE,United States,Trust
BAH,Booz Allen Hamilton Holding Corp,USD,NYSE,United States,Common Stock
BAINF,BASE,,,,
BAK,Braskem SA,USD,NYSE,United States,Depositary Receipt
BALY,Bally's Corporation,USD,NYSE,United States of America,EQUITY
BAM,Brookfield Asset Management Inc,USD,NYSE,United States,Common Stock
BAMGF,Brookfield Asset Management Inc.,USD,OTC,United States of America,EQUITY
BANC,Banc of California Inc,USD,NYSE,United States,Common Stock
BANC-D,Banc of California Inc,USD,NYSE,United States,Preferred Stock
BANC-E,Banc of California Inc,USD,NYSE,United States,Preferred Stock
BANC.PR.D,Banc of California,,,,
BANC.PR.E,Banc of California,,,,
BAND,Bandwidth Inc,USD,NASDAQ,United States,Common Stock
BANF,BancFirst Corp,USD,NASDAQ,United States,Common Stock
BANGN,Emera Maine ,USD,OTC,United States,Preferred Stock
BANI,Banneker,,,,
BANJ,Banjo & Matilda,,,,
BANM,BANNER ENERGY SVCS CORP.,USD,OTC,United States,Common Stock
BANR,Banner Corp,USD,NASDAQ,United States,Common Stock
BANT,Bantek Inc.,USD,OTC,United States,Common Stock
BANX,StoneCastle Financial Corp,USD,NASDAQ,United States,Common Stock
BAOS,Baosheng Media Group Holdings Limited Ordinary shares,USD,NASDAQ,United States of America,EQUITY
BAP,Credicorp Ltd,USD,NYSE,United States,Common Stock
BARK,Bark & Co,USD,NYSE,United States of America,EQUITY
BASA,Basanite Inc.,USD,OTC,United States,Common Stock
BASA,Basanite Inc.,USD,OTC,United States of America,EQUITY
BASFY,BASF SE,USD,OTC,United States of America,EQUITY
BASI,Bioanalytical Systems Inc,USD,NASDAQ,United States,Common Stock
BASWW,Basic Energy Services,,,,
BASX,Basic Energy Services,,,,
BATL,Battalion Oil Corp,USD,NYSE,United States,Common Stock
BATRA,Liberty Media Corp-Liberty Braves,USD,NASDAQ,United States,Common Stock
BATRB,Liberty Media Corporation,USD,OTC,United States,Common Stock
BATRB,The Liberty Braves Group,USD,OTC,United States of America,EQUITY
BATRK,Liberty Media Corp-Liberty Braves,USD,NASDAQ,United States,Common Stock
BAX,Baxter International Inc,USD,NYSE,United States,Common Stock
BAYK,Bay Banks of Virginia,,,,
BAYK,Bay Banks of Virginia,,,,
BAYP,Bayport International Holdings,,,,
BB,BlackBerry Ltd,USD,NYSE,United States,Common Stock
BBAGF,BB Biotech AG,USD,OTC,United States of America,EQUITY
BBAJF,Banco del Bajío,,,,
BBAL,New York Health Care,,,,
BBAR,Banco BBVA Argentina SA,USD,NYSE,United States,Depositary Receipt
BBBK,Baker Boyer Bancorp,USD,OTC,United States,Common Stock
BBBXF,Brixton Metals Corporation,USD,OTC,United States of America,EQUITY
BBBY,Bed Bath & Beyond Inc,USD,NASDAQ,United States,Common Stock
BBCP,Concrete Pumping Holdings Inc,USD,NASDAQ,United States,Common Stock
BBD,Banco Bradesco SA,USD,NYSE,United States,Depositary Receipt
BBDA,Bebida Beverage Co.,USD,OTC,United States,Common Stock
BBDC,Barings BDC Inc,USD,NYSE,United States,Common Stock
BBDO,Banco Bradesco SA,USD,NYSE,United States,Depositary Receipt
BBF,BlackRock Municipal Income Investment Trust,USD,NYSE,United States,Trust
BBGI,Beasley Broadcast Group Inc,USD,NASDAQ,United States,Common Stock
BBGP,Bridgegate Pictures Corp.,USD,OTC,United States,Common Stock
BBI,Brickell Biotech Inc,USD,NASDAQ,United States,Common Stock
BBIG,Vinco Ventures,,,,
BBIO,Bridgebio Pharma Inc,USD,NASDAQ,United States,Common Stock
BBK,BlackRock Municipal Bond Trust,USD,NYSE,United States,Closed-end Fund
BBKCF,BIGG Digital Assets Inc.,USD,OTC,United States of America,EQUITY
BBL,BHP Group PLC,USD,NYSE,United States,Depositary Receipt
BBLC,Blockchain Loyalty Corp.,USD,OTC,United States,Common Stock
BBLS,Petrolia Energy Corp.,USD,OTC,United States,Common Stock
BBME,Border Bancshares,USD,OTC,United States,Common Stock
BBN,BlackRock Taxable Municipal Bond Trust,USD,NYSE,United States,Closed-end Fund
BBQ,BBQ Holdings Inc,USD,NASDAQ,United States,Common Stock
BBRW,BREWBILT MFG INC.,USD,OTC,United States,Common Stock
BBSI,Barrett Business Services Inc,USD,NASDAQ,United States,Common Stock
BBSRF,Bluestone Resources Inc.,USD,OTC,United States of America,EQUITY
BBU,Brookfield Business Partners LP,USD,NYSE,United States,Limited Partnership
BBUCQ,Big Buck Brewery & Steakhouse,,,,
BBVA,Banco Bilbao Vizcaya Argentaria SA,USD,NYSE,United States,Depositary Receipt
BBVTF,BBTV Holdings Inc.,USD,OTC,United States of America,EQUITY
BBW,Build-A-Bear Workshop Inc,USD,NYSE,United States,Common Stock
BBWI,Bath & Body Works,,,,
BBXIA,BBX Capital,,,,
BBY,Best Buy Co Inc,USD,NYSE,United States,Common Stock
BC,Brunswick Corp-DE,USD,NYSE,United States,Common Stock
BC-A,Brunswick Corp-DE,USD,NYSE,United States,Preferred Stock
BCAB,BioAtla,,,,
BCAL,Bank of Southern California,,,,
BCAP,Baron Capital Enterprise,,,,
BCAT,BlackRock Capital Allocation Trust,USD,NYSE,United States of America,EQUITY
BC-B,Brunswick Corp-DE,USD,NYSE,United States,Preferred Stock
BCBP,BCB Bancorp Inc,USD,NASDAQ,United States,Common Stock
BC-C,Brunswick Corp-DE,USD,NYSE,United States,Preferred Stock
BCC,Boise Cascade Co,USD,NYSE,United States,Common Stock
BCCI,Baristas Coffee Company Inc.,USD,OTC,United States,Common Stock
BCCMY,BAIC Motor Corporation Limited,USD,OTC,United States of America,EQUITY
BCDA,BioCardia Inc,USD,NASDAQ,United States,Common Stock
BCDS,Blaqclouds Inc.,USD,OTC,United States,Common Stock
BCE,BCE Inc,USD,NYSE,United States,Common Stock
BCEI,Bonanza Creek Energy Inc,USD,NYSE,United States,Common Stock
BCEKF,Bear Creek Mining Corporation,USD,OTC,United States of America,EQUITY
BCEL,Atreca Inc,USD,NASDAQ,United States,Common Stock
BCH,Banco de Chile,USD,NYSE,United States,Depositary Receipt
BCHG,Grayscale Bitcoin Cash Trust,USD,OTC,United States of America,EQUITY
BCII,Blockchain Industries,,,,
BCLE,Bio-Clean International,,,,
BCLI,BrainStorm Cell Therapeutics Inc,USD,NASDAQ,United States,Common Stock
BCLMF,Bacanora Lithium Plc,USD,OTC,United States of America,EQUITY
BCML,Baycom Corp,USD,NASDAQ,United States,Common Stock
BCND,Beacon Redevelopment Industrial Corp.,USD,OTC,United States,Common Stock
BCO,Brink's Co-The,USD,NYSE,United States,Common Stock
BCOM,B Communications Ltd,USD,NASDAQ,United States,Common Stock
BCOMF,B Communications Ltd,USD,OTC,United States of America,EQUITY
BCOR,Blucora Inc,USD,NASDAQ,United States,Common Stock
BCOV,Brightcove Inc,USD,NASDAQ,United States,Common Stock
BCOW,1895 Bancorp of Wisconsin Inc,USD,NASDAQ,United States,Common Stock
BCPC,Balchem Corp,USD,NASDAQ,United States,Common Stock
BCRX,BioCryst Pharmaceuticals Inc,USD,NASDAQ,United States,Common Stock
BCS,Barclays PLC,USD,NYSE,United States,Depositary Receipt
BCSF,Bain Capital Specialty Finance Inc,USD,NYSE,United States,Common Stock
BCTF,Bancorp 34 Inc,USD,NASDAQ,United States,Common Stock
BCTF,Bancorp 34,,,,
BCTG,BCTG Acquisition Corp.,USD,NASDAQ,United States of America,EQUITY
BCTX,BriaCell Therapeutics Corp.,USD,NASDAQ,United States of America,EQUITY
BCTXF,Briacell Therapeutics Corp.,USD,OTC,United States,Common Stock
BCV,Bancroft Fund Ltd,USD,NYSE,United States,Closed-end Fund
BCV-A,Bancroft Fund Ltd,USD,NYSE,United States,Preferred Stock
BCV.PR.A,Bancroft Fund Ltd.,USD,NYSE,United States of America,EQUITY
BCVVF,BOC Aviation Limited,USD,OTC,United States of America,EQUITY
BCX,BlackRock Resources & Commodities Strategy Trust,USD,NYSE,United States,Closed-end Fund
BCYC,Bicycle Therapeutics Ltd,USD,NASDAQ,United States,Depositary Receipt
BCYP,Big Cypress Acquisition Corp.,USD,NASDAQ,United States of America,EQUITY
BDC,Belden Inc,USD,NYSE,United States,Common Stock
BDCM,Broadcast Marketing Group,,,,
BDCO,Blue Dolphin Energy Co.,USD,OTC,United States,Common Stock
BDFH,Four G Holdings Corporation,USD,OTC,United States,Common Stock
BDGE,Bridge Bancorp Inc,USD,NASDAQ,United States,Common Stock
BDGR,Black Dragon Resource Companies,,,,
BDGY,Bridgeway National Corp.,USD,OTC,United States,Common Stock
BDIC,Blow & Drive Interlock Corp.,USD,OTC,United States,Common Stock
BDJ,BlackRock Enhanced Equity Dividend Trust,USD,NYSE,United States,Trust
BDL,Flanigan's Enterprises Inc,USD,NYSE,United States,Common Stock
BDN,Brandywine Realty Trust,USD,NYSE,United States,Real Estate Investment Trust (REIT)
